title_number,title_text,chapter_number,chapter_text,offense_section,offense_text,section_number,section_text,subsection_number,subsection_text
01,General Provisions,19,Rules of Construction,1932,Statutes in pari materia,1932,Statutes in pari materia,NA,NA
01,General Provisions,19,Rules of Construction,1933,Particular controls general,1933,Particular controls general,NA,NA
01,General Provisions,19,Rules of Construction,1934,Irreconcilable clauses in the same statute,1934,Irreconcilable clauses in the same statute,NA,NA
01,General Provisions,19,Rules of Construction,1935,Irreconcilable statutes passed by same General Assembly,1935,Irreconcilable statutes passed by same General Assembly,NA,NA
01,General Provisions,19,Rules of Construction,1936,Irreconcilable statutes passed by different General Assemblies,1936,Irreconcilable statutes passed by different General Assemblies,NA,NA
01,General Provisions,19,Rules of Construction,1937,References to statutes and regulations,1937,References to statutes and regulations,NA,NA
01,General Provisions,19,Rules of Construction,1938,References to public bodies and public officers,1938,References to public bodies and public officers,NA,NA
01,General Provisions,19,Rules of Construction,1939,Use of comments and reports,1939,Use of comments and reports,NA,NA
01,General Provisions,19,Rules of Construction,1951,Interpretation of amendatory statutes,1951,Interpretation of amendatory statutes,NA,NA
01,General Provisions,19,Rules of Construction,1952,Effect of separate amendments on code provisions enacted by same General Assembly,1952,Effect of separate amendments on code provisions enacted by same General Assembly,NA,NA
01,General Provisions,19,Rules of Construction,1953,Construction of amendatory statutes,1953,Construction of amendatory statutes,NA,NA
01,General Provisions,19,Rules of Construction,1954,Merger of subsequent amendments,1954,Merger of subsequent amendments,NA,NA
01,General Provisions,19,Rules of Construction,1955,"Two or more amendments to same provision, one overlooking the other",1955,"Two or more amendments to same provision, one overlooking the other",NA,NA
01,General Provisions,19,Rules of Construction,1956,Repeal of amendatory statutes and original statutes subsequently amended,1956,Repeal of amendatory statutes and original statutes subsequently amended,NA,NA
01,General Provisions,19,Rules of Construction,1957,Ineffective provisions not revived by reenactment in amendatory statutes,1957,Ineffective provisions not revived by reenactment in amendatory statutes,NA,NA
01,General Provisions,19,Rules of Construction,1961,Effect of reenactment on original statute,1961,Effect of reenactment on original statute,NA,NA
01,General Provisions,19,Rules of Construction,1962,Repeal and reenactment,1962,Repeal and reenactment,NA,NA
01,General Provisions,19,Rules of Construction,1963,Effect of reenactment on intervening statutes,1963,Effect of reenactment on intervening statutes,NA,NA
01,General Provisions,19,Rules of Construction,1971,Implied repeal by later statute,1971,Implied repeal by later statute,NA,NA
01,General Provisions,19,Rules of Construction,1972,Nonexistence of reason for statute does not effect repeal,1972,Nonexistence of reason for statute does not effect repeal,NA,NA
01,General Provisions,19,Rules of Construction,1973,No implied repeal by nonuser,1973,No implied repeal by nonuser,NA,NA
01,General Provisions,19,Rules of Construction,1974,Effect of separate repeals on code provisions by same General Assembly,1974,Effect of separate repeals on code provisions by same General Assembly,NA,NA
01,General Provisions,19,Rules of Construction,1975,Effect of repeal on limitations,1975,Effect of repeal on limitations,NA,NA
01,General Provisions,19,Rules of Construction,1976,"Effect of repeal on rights, et cetera",1976,"Effect of repeal on rights, et cetera",NA,NA
01,General Provisions,19,Rules of Construction,1977,Repeal does not revive repealed statute,1977,Repeal does not revive repealed statute,NA,NA
01,General Provisions,19,Rules of Construction,1978,Repeal as obsolete does not affect substantive rights,1978,Repeal as obsolete does not affect substantive rights,NA,NA
01,General Provisions,19,Rules of Construction,1991,Definitions,1991,Definitions,NA,NA
01,General Provisions,23,Implementation of Constitutional Provisions,2301,Equality of rights based on sex,2301,Equality of rights based on sex,NA,NA
01,General Provisions,23,Implementation of Constitutional Provisions,2310,Sovereign immunity reaffirmed; specific waiver,2310,Sovereign immunity reaffirmed; specific waiver,NA,NA
01,General Provisions,31,Board of Commissioners on Uniform State Laws,3101,Definitions,3101,Definitions,NA,NA
01,General Provisions,31,Board of Commissioners on Uniform State Laws,3102,Board established,3102,Board established,NA,NA
01,General Provisions,31,Board of Commissioners on Uniform State Laws,3103,Powers and duties,3103,Powers and duties,NA,NA
02,Administrative Law And Procedure,1,General Provisions,101,Definitions,101,Definitions,NA,NA
02,Administrative Law And Procedure,1,General Provisions,102,Implementing regulations,102,Implementing regulations,NA,NA
02,Administrative Law And Procedure,1,General Provisions,103,Administrative Agency Law,103,Administrative Agency Law,NA,NA
02,Administrative Law And Procedure,1,General Provisions,104,Commonwealth Documents Law (Reserved),104,Commonwealth Documents Law (Reserved),NA,NA
02,Administrative Law And Procedure,1,General Provisions,105,Local Agency Law,105,Local Agency Law,NA,NA
02,Administrative Law And Procedure,1,General Provisions,106,Effect of future legislation,106,Effect of future legislation,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,501,Scope of subchapter,501,Scope of subchapter,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,502,Representation,502,Representation,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,503,Discipline,503,Discipline,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,504,Hearing and record,504,Hearing and record,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,505,Evidence and cross-examination,505,Evidence and cross-examination,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,505.1,Interpreters for the deaf (Deleted by amendment),505,Evidence and cross-examination,1,Interpreters for the deaf (Deleted by amendment)
02,Administrative Law And Procedure,5,Practice and Procedure,506,Briefs and oral argument,506,Briefs and oral argument,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,507,Contents and service of adjudications,507,Contents and service of adjudications,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,508,Notice to Department of Justice,508,Notice to Department of Justice,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,551,Scope of subchapter,551,Scope of subchapter,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,552,Representation,552,Representation,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,553,Hearing and record,553,Hearing and record,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,554,Evidence and cross-examination,554,Evidence and cross-examination,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,555,Contents and service of adjudications,555,Contents and service of adjudications,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,561,Scope of subchapter,561,Scope of subchapter,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,562,Duties of department,562,Duties of department,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,563,Appointment of interpreter,563,Appointment of interpreter,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,564,Replacement of interpreter,564,Replacement of interpreter,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,565,Oath,565,Oath,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,566,Confidential communications in presence of interpreter,566,Confidential communications in presence of interpreter,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,567,Cost of providing interpreter,567,Cost of providing interpreter,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,568,Funding,568,Funding,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,581,Scope of subchapter,581,Scope of subchapter,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,582,Duties of department,582,Duties of department,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,583,Appointment of interpreter,583,Appointment of interpreter,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,584,Replacement of interpreter,584,Replacement of interpreter,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,585,Oath,585,Oath,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,586,Confidential communications in presence of interpreter,586,Confidential communications in presence of interpreter,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,587,Cost of providing interpreter,587,Cost of providing interpreter,NA,NA
02,Administrative Law And Procedure,5,Practice and Procedure,588,Funding,588,Funding,NA,NA
02,Administrative Law And Procedure,7,Judicial Review,701,Scope of subchapter,701,Scope of subchapter,NA,NA
02,Administrative Law And Procedure,7,Judicial Review,702,Appeals,702,Appeals,NA,NA
02,Administrative Law And Procedure,7,Judicial Review,703,Scope of review,703,Scope of review,NA,NA
02,Administrative Law And Procedure,7,Judicial Review,704,Disposition of appeal,704,Disposition of appeal,NA,NA
02,Administrative Law And Procedure,7,Judicial Review,751,Scope of subchapter,751,Scope of subchapter,NA,NA
02,Administrative Law And Procedure,7,Judicial Review,752,Appeals,752,Appeals,NA,NA
02,Administrative Law And Procedure,7,Judicial Review,753,Scope of review,753,Scope of review,NA,NA
02,Administrative Law And Procedure,7,Judicial Review,754,Disposition of appeal,754,Disposition of appeal,NA,NA
03,Agriculture,1,Preliminary Provisions,101,Short title of title,101,Short title of title,NA,NA
03,Agriculture,1,Preliminary Provisions,102,Definitions,102,Definitions,NA,NA
03,Agriculture,3,Local Regulation,311,Scope,311,Scope,NA,NA
03,Agriculture,3,Local Regulation,312,Definitions,312,Definitions,NA,NA
03,Agriculture,3,Local Regulation,313,Certain local government unit actions prohibited,313,Certain local government unit actions prohibited,NA,NA
03,Agriculture,3,Local Regulation,314,Duties of Attorney General,314,Duties of Attorney General,NA,NA
03,Agriculture,3,Local Regulation,315,Right of action,315,Right of action,NA,NA
03,Agriculture,3,Local Regulation,316,Commonwealth Court masters,316,Commonwealth Court masters,NA,NA
03,Agriculture,3,Local Regulation,317,Attorney fees and costs,317,Attorney fees and costs,NA,NA
03,Agriculture,3,Local Regulation,318,Reports to General Assembly,318,Reports to General Assembly,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,501,Scope,501,Scope,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,502,Declaration of legislative purpose,502,Declaration of legislative purpose,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,503,Definitions,503,Definitions,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,504,Powers and duties of commission,504,Powers and duties of commission,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,505,Powers and duties of Department of Environmental Protection,505,Powers and duties of Department of Environmental Protection,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,506,Nutrient management plans,506,Nutrient management plans,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,507,Manure application setbacks and buffers,507,Manure application setbacks and buffers,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,508,Nutrient management certification program and odor management certification program,508,Nutrient management certification program and odor management certification program,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,509,Odor management plans,509,Odor management plans,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,510,Nutrient Management Advisory Board,510,Nutrient Management Advisory Board,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,511,Financial assistance,511,Financial assistance,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,512,Nutrient Management Fund,512,Nutrient Management Fund,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,513,Unlawful conduct,513,Unlawful conduct,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,514,Civil penalties and remedies,514,Civil penalties and remedies,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,515,Limitation of liability,515,Limitation of liability,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,516,Enforcement authority; enforcement orders,516,Enforcement authority; enforcement orders,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,517,Appealable actions,517,Appealable actions,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,518,Powers reserved under existing laws,518,Powers reserved under existing laws,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,519,Preemption of local ordinances,519,Preemption of local ordinances,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,520,Repeals,520,Repeals,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,521,Other statutes not affected,521,Other statutes not affected,NA,NA
03,Agriculture,5,Nutrient Management and Odor Management,522,Regulations,522,Regulations,NA,NA
03,Agriculture,6,Agriculture-Linked Investment Program,601,Scope of chapter,601,Scope of chapter,NA,NA
03,Agriculture,6,Agriculture-Linked Investment Program,602,Legislative intent,602,Legislative intent,NA,NA
03,Agriculture,6,Agriculture-Linked Investment Program,603,Definitions,603,Definitions,NA,NA
03,Agriculture,6,Agriculture-Linked Investment Program,604,General authority of commission,604,General authority of commission,NA,NA
03,Agriculture,6,Agriculture-Linked Investment Program,605,Agriculture-Linked Investment Program,605,Agriculture-Linked Investment Program,NA,NA
03,Agriculture,6,Agriculture-Linked Investment Program,606,Liability,606,Liability,NA,NA
03,Agriculture,6,Agriculture-Linked Investment Program,607,Funding cap,607,Funding cap,NA,NA
03,Agriculture,7,Industrial Hemp Research,701,Scope of chapter,701,Scope of chapter,NA,NA
03,Agriculture,7,Industrial Hemp Research,702,Definitions,702,Definitions,NA,NA
03,Agriculture,7,Industrial Hemp Research,703,Administration,703,Administration,NA,NA
03,Agriculture,7,Industrial Hemp Research,704,Growth and cultivation,704,Growth and cultivation,NA,NA
03,Agriculture,7,Industrial Hemp Research,705,Control orders,705,Control orders,NA,NA
03,Agriculture,7,Industrial Hemp Research,706,Noncriminal offense,706,Noncriminal offense,NA,NA
03,Agriculture,7,Industrial Hemp Research,707,Criminal and civil penalties,707,Criminal and civil penalties,NA,NA
03,Agriculture,7,Industrial Hemp Research,708,Disposition of funds,708,Disposition of funds,NA,NA
03,Agriculture,7,Industrial Hemp Research,709,Abrogation of regulation,709,Abrogation of regulation,NA,NA
03,Agriculture,7,Industrial Hemp Research,710,Expiration,710,Expiration,NA,NA
03,Agriculture,9,Pennsylvania Dairy Future Commission,901,Scope of chapter,901,Scope of chapter,NA,NA
03,Agriculture,9,Pennsylvania Dairy Future Commission,902,Definitions,902,Definitions,NA,NA
03,Agriculture,9,Pennsylvania Dairy Future Commission,903,Establishment,903,Establishment,NA,NA
03,Agriculture,9,Pennsylvania Dairy Future Commission,904,Duties,904,Duties,NA,NA
03,Agriculture,9,Pennsylvania Dairy Future Commission,905,Membership,905,Membership,NA,NA
03,Agriculture,9,Pennsylvania Dairy Future Commission,906,Meetings,906,Meetings,NA,NA
03,Agriculture,9,Pennsylvania Dairy Future Commission,907,Payments to members,907,Payments to members,NA,NA
03,Agriculture,9,Pennsylvania Dairy Future Commission,908,Administrative support,908,Administrative support,NA,NA
03,Agriculture,9,Pennsylvania Dairy Future Commission,909,Additional powers and duties,909,Additional powers and duties,NA,NA
03,Agriculture,11,Fireworks,1101,Definitions,1101,Definitions,NA,NA
03,Agriculture,11,Fireworks,1102,Use of display fireworks,1102,Use of display fireworks,NA,NA
03,Agriculture,11,Fireworks,1103,(Reserved),1103,(Reserved),NA,NA
03,Agriculture,11,Fireworks,1104,Use of consumer fireworks,1104,Use of consumer fireworks,NA,NA
03,Agriculture,11,Fireworks,1105,Agricultural purposes,1105,Agricultural purposes,NA,NA
03,Agriculture,11,Fireworks,1106,Rules and regulations by municipality,1106,Rules and regulations by municipality,NA,NA
03,Agriculture,11,Fireworks,1107,Sales locations,1107,Sales locations,NA,NA
03,Agriculture,11,Fireworks,1108,"Fees, granting of licenses and inspections",1108,"Fees, granting of licenses and inspections",NA,NA
03,Agriculture,11,Fireworks,1108.1,"Refusal, suspension or revocation of license",1108,"Fees, granting of licenses and inspections",1,"Refusal, suspension or revocation of license"
03,Agriculture,11,Fireworks,1109,Conditions for facilities,1109,Conditions for facilities,NA,NA
03,Agriculture,11,Fireworks,1110,(Reserved),1110,(Reserved),NA,NA
03,Agriculture,11,Fireworks,1111,Attorney General,1111,Attorney General,NA,NA
03,Agriculture,11,Fireworks,1112,Consumer fireworks tax,1112,Consumer fireworks tax,NA,NA
03,Agriculture,11,Fireworks,1113,Disposition of certain funds,1113,Disposition of certain funds,NA,NA
03,Agriculture,11,Fireworks,1114,Penalties,1114,Penalties,NA,NA
03,Agriculture,11,Fireworks,1115,"Removal, storage and destruction",1115,"Removal, storage and destruction",NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1501,Scope of chapter,1501,Scope of chapter,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1502,Definitions,1502,Definitions,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1511,Designation of noxious weeds and controlled plants,1511,Designation of noxious weeds and controlled plants,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1512,Permits,1512,Permits,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1513,General permits,1513,General permits,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1514,Individual permits,1514,Individual permits,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1515,Prohibited acts,1515,Prohibited acts,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1516,Noxious weed control areas,1516,Noxious weed control areas,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1517,Control orders,1517,Control orders,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1518,Compliance with orders,1518,Compliance with orders,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1519,Noxious weed list,1519,Noxious weed list,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1520,Fees,1520,Fees,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1521,Powers and duties of secretary and department,1521,Powers and duties of secretary and department,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1522,Stop-sale orders,1522,Stop-sale orders,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1523,Seizure and condemnation,1523,Seizure and condemnation,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1524,Appeal process,1524,Appeal process,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1525,Cooperation with other entities,1525,Cooperation with other entities,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1526,Rules and regulations,1526,Rules and regulations,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1541,Unlawful conduct,1541,Unlawful conduct,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1542,"Interference with inspector, agent or employee of department",1542,"Interference with inspector, agent or employee of department",NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1543,Enforcement and penalties,1543,Enforcement and penalties,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1544,Injunctive relief,1544,Injunctive relief,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1545,De minimis violations,1545,De minimis violations,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1561,Disposition of funds,1561,Disposition of funds,NA,NA
03,Agriculture,15,Controlled Plants and Noxious Weeds,1562,Preemption,1562,Preemption,NA,NA
03,Agriculture,21,Bees,2101,Short title of chapter,2101,Short title of chapter,NA,NA
03,Agriculture,21,Bees,2102,Definitions,2102,Definitions,NA,NA
03,Agriculture,21,Bees,2103,Chief apiary inspector,2103,Chief apiary inspector,NA,NA
03,Agriculture,21,Bees,2104,Quarantines,2104,Quarantines,NA,NA
03,Agriculture,21,Bees,2105,Registration of apiaries,2105,Registration of apiaries,NA,NA
03,Agriculture,21,Bees,2106,Inspection,2106,Inspection,NA,NA
03,Agriculture,21,Bees,2107,Diseases,2107,Diseases,NA,NA
03,Agriculture,21,Bees,2108,Infected shipments,2108,Infected shipments,NA,NA
03,Agriculture,21,Bees,2109,Prohibitions,2109,Prohibitions,NA,NA
03,Agriculture,21,Bees,2110,Free access,2110,Free access,NA,NA
03,Agriculture,21,Bees,2111,Transportation,2111,Transportation,NA,NA
03,Agriculture,21,Bees,2112,Imported bees,2112,Imported bees,NA,NA
03,Agriculture,21,Bees,2113,Penalties,2113,Penalties,NA,NA
03,Agriculture,21,Bees,2114,Civil penalties,2114,Civil penalties,NA,NA
03,Agriculture,21,Bees,2115,Injunctions,2115,Injunctions,NA,NA
03,Agriculture,21,Bees,2116,Concurrent remedies,2116,Concurrent remedies,NA,NA
03,Agriculture,21,Bees,2117,Disposition of funds,2117,Disposition of funds,NA,NA
03,Agriculture,23,Domestic Animals,2301,Short title of chapter,2301,Short title of chapter,NA,NA
03,Agriculture,23,Domestic Animals,2302,"Finding, policy and purpose",2302,"Finding, policy and purpose",NA,NA
03,Agriculture,23,Domestic Animals,2303,Definitions,2303,Definitions,NA,NA
03,Agriculture,23,Domestic Animals,2304,Diagnostic services and research,2304,Diagnostic services and research,NA,NA
03,Agriculture,23,Domestic Animals,2305,Keeping and handling of domestic animals,2305,Keeping and handling of domestic animals,NA,NA
03,Agriculture,23,Domestic Animals,2311,General authority,2311,General authority,NA,NA
03,Agriculture,23,Domestic Animals,2312,Adoption of form of identification,2312,Adoption of form of identification,NA,NA
03,Agriculture,23,Domestic Animals,2313,Certified copies,2313,Certified copies,NA,NA
03,Agriculture,23,Domestic Animals,2314,"Brand, tattoo or other form of identification as proof of ownership",2314,"Brand, tattoo or other form of identification as proof of ownership",NA,NA
03,Agriculture,23,Domestic Animals,2315,Disputes in custody or ownership,2315,Disputes in custody or ownership,NA,NA
03,Agriculture,23,Domestic Animals,2316,Sale or assignment of form of identification,2316,Sale or assignment of form of identification,NA,NA
03,Agriculture,23,Domestic Animals,2317,Violations and penalty,2317,Violations and penalty,NA,NA
03,Agriculture,23,Domestic Animals,2318,Fees and forfeiture,2318,Fees and forfeiture,NA,NA
03,Agriculture,23,Domestic Animals,2321,Dangerous transmissible diseases,2321,Dangerous transmissible diseases,NA,NA
03,Agriculture,23,Domestic Animals,2322,"Neoplastic diseases, metabolic diseases and heritable diseases",2322,"Neoplastic diseases, metabolic diseases and heritable diseases",NA,NA
03,Agriculture,23,Domestic Animals,2323,Health requirements,2323,Health requirements,NA,NA
03,Agriculture,23,Domestic Animals,2324,Safety of domestic animal feed,2324,Safety of domestic animal feed,NA,NA
03,Agriculture,23,Domestic Animals,2325,"Use of biologicals, antibiotics, genetic material, chemicals, diagnostic agents and",2325,"Use of biologicals, antibiotics, genetic material, chemicals, diagnostic agents and",NA,NA
03,Agriculture,23,Domestic Animals,2326,Sanitation,2326,Sanitation,NA,NA
03,Agriculture,23,Domestic Animals,2327,Disease surveillance and detection,2327,Disease surveillance and detection,NA,NA
03,Agriculture,23,Domestic Animals,2328,Entry on premises,2328,Entry on premises,NA,NA
03,Agriculture,23,Domestic Animals,2329,Quarantine,2329,Quarantine,NA,NA
